Date,Open,High,Low,Close,Volume,Currency
1980-12-12,0.13,0.13,0.13,0.13,469034080,USD
1980-12-15,0.12,0.12,0.12,0.12,175884976,USD
1980-12-16,0.11,0.11,0.11,0.11,105728104,USD
1980-12-17,0.12,0.12,0.12,0.12,86441688,USD
1980-12-18,0.12,0.12,0.12,0.12,73449672,USD
1980-12-19,0.13,0.13,0.13,0.13,48630448,USD
1980-12-22,0.13,0.13,0.13,0.13,37363236,USD
1980-12-23,0.14,0.14,0.14,0.14,46950448,USD
1980-12-24,0.15,0.15,0.15,0.15,48003248,USD
1980-12-26,0.16,0.16,0.16,0.16,55574456,USD
1980-12-29,0.16,0.16,0.16,0.16,93161696,USD
1980-12-30,0.16,0.16,0.16,0.16,68880072,USD
1980-12-31,0.15,0.15,0.15,0.15,35750436,USD
1981-01-02,0.15,0.16,0.15,0.15,21660822,USD
1981-01-05,0.15,0.15,0.15,0.15,35728036,USD
1981-01-06,0.14,0.14,0.14,0.14,45158444,USD
1981-01-07,0.14,0.14,0.14,0.14,55686456,USD
1981-01-08,0.14,0.14,0.14,0.14,39827240,USD
1981-01-09,0.14,0.14,0.14,0.14,21504022,USD
1981-01-12,0.14,0.14,0.14,0.14,23699224,USD
1981-01-13,0.14,0.14,0.14,0.14,23049624,USD
1981-01-14,0.14,0.14,0.14,0.14,14291214,USD
1981-01-15,0.14,0.14,0.14,0.14,14067214,USD
1981-01-16,0.14,0.14,0.14,0.14,13395213,USD
1981-01-19,0.15,0.15,0.15,0.15,41574440,USD
1981-01-20,0.14,0.14,0.14,0.14,30083230,USD
1981-01-21,0.15,0.15,0.15,0.15,15904016,USD
1981-01-22,0.15,0.15,0.15,0.15,35548836,USD
1981-01-23,0.15,0.15,0.15,0.15,11222411,USD
1981-01-26,0.14,0.14,0.14,0.14,24640024,USD
1981-01-27,0.14,0.14,0.14,0.14,23699224,USD
1981-01-28,0.14,0.14,0.14,0.14,28156828,USD
1981-01-29,0.13,0.13,0.13,0.13,43904044,USD
1981-01-30,0.13,0.13,0.13,0.13,46188848,USD
1981-02-02,0.12,0.12,0.12,0.12,23766424,USD
1981-02-03,0.12,0.12,0.12,0.12,19152020,USD
1981-02-04,0.13,0.13,0.13,0.13,27865628,USD
1981-02-05,0.13,0.13,0.13,0.13,7929608,USD
1981-02-06,0.13,0.13,0.13,0.13,13865614,USD
1981-02-09,0.12,0.12,0.12,0.12,16755217,USD
1981-02-10,0.12,0.12,0.12,0.12,18345618,USD
1981-02-11,0.12,0.12,0.12,0.12,13843214,USD
1981-02-12,0.12,0.12,0.12,0.12,14560015,USD
1981-02-13,0.11,0.11,0.11,0.11,11155211,USD
1981-02-17,0.12,0.12,0.12,0.12,12275212,USD
1981-02-18,0.12,0.12,0.12,0.12,19241620,USD
1981-02-19,0.11,0.11,0.11,0.11,22310422,USD
1981-02-20,0.11,0.11,0.11,0.11,24371224,USD
1981-02-23,0.11,0.11,0.11,0.11,14112014,USD
1981-02-24,0.11,0.11,0.11,0.11,16979216,USD
1981-02-25,0.11,0.11,0.11,0.11,19488020,USD
1981-02-26,0.11,0.11,0.11,0.11,10841611,USD
1981-02-27,0.12,0.12,0.12,0.12,14761615,USD
1981-03-02,0.12,0.12,0.12,0.12,11760012,USD
1981-03-03,0.12,0.12,0.12,0.12,16172816,USD
1981-03-04,0.12,0.12,0.12,0.12,13708814,USD
