DATE,T10YIE
2011-11-09,2.04
2011-11-10,2.08
2011-11-11,.
2011-11-14,2.05
2011-11-15,2.02
2011-11-16,1.96
2011-11-17,1.90
2011-11-18,1.96
2011-11-21,1.90
2011-11-22,1.89
2011-11-23,1.90
2011-11-24,.
2011-11-25,1.92
2011-11-28,1.95
2011-11-29,1.99
2011-11-30,2.05
2011-12-01,2.05
2011-12-02,2.05
2011-12-05,2.05
2011-12-06,2.07
2011-12-07,2.03
2011-12-08,1.98
2011-12-09,2.02
2011-12-12,2.04
2011-12-13,2.01
2011-12-14,1.96
2011-12-15,1.93
2011-12-16,1.91
2011-12-19,1.94
2011-12-20,2.04
2011-12-21,2.05
2011-12-22,2.04
2011-12-23,2.07
2011-12-26,.
2011-12-27,2.04
2011-12-28,2.00
2011-12-29,1.96
2011-12-30,1.96
2012-01-02,.
2012-01-03,2.01
2012-01-04,2.08
2012-01-05,2.12
2012-01-06,2.09
2012-01-09,2.11
2012-01-10,2.08
2012-01-11,2.03
2012-01-12,2.04
2012-01-13,2.03
2012-01-16,.
2012-01-17,2.04
2012-01-18,2.07
2012-01-19,2.01
2012-01-20,2.04
2012-01-23,2.07
2012-01-24,2.09
2012-01-25,2.13
2012-01-26,2.12
2012-01-27,2.11
2012-01-30,2.11
2012-01-31,2.11
2012-02-01,2.15
2012-02-02,2.16
2012-02-03,2.18
2012-02-06,2.19
2012-02-07,2.21
2012-02-08,2.22
2012-02-09,2.21
2012-02-10,2.20
2012-02-13,2.21
2012-02-14,2.19
2012-02-15,2.19
2012-02-16,2.23
2012-02-17,2.24
2012-02-20,.
2012-02-21,2.27
2012-02-22,2.28
2012-02-23,2.29
2012-02-24,2.27
2012-02-27,2.24
2012-02-28,2.25
2012-02-29,2.26
2012-03-01,2.26
2012-03-02,2.23
2012-03-05,2.20
2012-03-06,2.17
2012-03-07,2.20
2012-03-08,2.24
2012-03-09,2.28
2012-03-12,2.28
2012-03-13,2.34
2012-03-14,2.36
2012-03-15,2.37
2012-03-16,2.40
2012-03-19,2.42
2012-03-20,2.42
2012-03-21,2.39
2012-03-22,2.37
2012-03-23,2.36
2012-03-26,2.34
2012-03-27,2.33
2012-03-28,2.32
2012-03-29,2.31
2012-03-30,2.32
2012-04-02,2.36
2012-04-03,2.36
2012-04-04,2.30
2012-04-05,2.27
2012-04-06,2.23
2012-04-09,2.23
2012-04-10,2.25
2012-04-11,2.30
2012-04-12,2.30
2012-04-13,2.27
2012-04-16,2.26
2012-04-17,2.29
2012-04-18,2.26
2012-04-19,2.19
2012-04-20,2.23
2012-04-23,2.22
2012-04-24,2.25
2012-04-25,2.25
2012-04-26,2.27
2012-04-27,2.26
