,Date,Open,High,Low,Close,Volume,Currency
0,2020-01-02,1348.41,1368.68,1346.49,1368.68,1364265,USD
1,2020-01-03,1348.0,1373.75,1347.32,1361.52,1170629,USD
2,2020-01-06,1351.63,1398.32,1351.0,1397.81,2339343,USD
3,2020-01-07,1400.46,1403.5,1391.56,1395.11,1726456,USD
4,2020-01-08,1394.82,1411.85,1392.63,1405.04,1766274,USD
5,2020-01-09,1421.93,1428.68,1410.21,1419.79,1661438,USD
6,2020-01-10,1429.47,1434.94,1419.6,1428.96,1313178,USD
7,2020-01-13,1435.25,1441.48,1425.37,1440.03,1537317,USD
8,2020-01-14,1440.0,1442.63,1427.77,1430.59,1305636,USD
9,2020-01-15,1433.02,1440.78,1431.66,1439.2,1077519,USD
10,2020-01-16,1445.45,1450.7,1440.0,1450.16,1304040,USD
11,2020-01-17,1462.54,1480.55,1456.55,1479.52,2621175,USD
12,2020-01-21,1479.0,1489.88,1470.21,1482.25,2446601,USD
13,2020-01-22,1489.73,1500.58,1482.66,1484.17,1422946,USD
14,2020-01-23,1487.55,1493.5,1480.32,1484.69,1332562,USD
15,2020-01-24,1492.82,1494.2,1463.18,1466.17,1489280,USD
16,2020-01-27,1431.54,1436.58,1419.5,1431.73,1706566,USD
17,2020-01-28,1441.74,1454.8,1430.36,1450.5,1486586,USD
18,2020-01-29,1458.46,1464.14,1445.38,1456.7,1081964,USD
19,2020-01-30,1438.1,1455.25,1435.0,1454.25,1355472,USD
20,2020-01-31,1467.86,1469.67,1427.06,1432.78,2191075,USD
21,2020-02-03,1461.65,1486.3,1456.61,1482.6,3608760,USD
22,2020-02-04,1454.49,1467.34,1422.03,1445.41,4793967,USD
23,2020-02-05,1463.61,1464.58,1429.67,1446.05,1818793,USD
24,2020-02-06,1451.98,1481.56,1450.48,1475.97,1891079,USD
25,2020-02-07,1467.38,1485.24,1465.41,1479.11,1418049,USD
26,2020-02-10,1477.23,1508.88,1475.2,1508.66,1915072,USD
27,2020-02-11,1513.27,1529.88,1505.45,1510.06,1742647,USD
28,2020-02-12,1515.86,1520.3,1508.67,1518.63,1552136,USD
29,2020-02-13,1510.0,1525.95,1504.0,1513.39,1145658,USD
30,2020-02-14,1514.53,1520.05,1505.55,1518.73,1159857,USD
31,2020-02-18,1514.34,1530.56,1511.01,1519.44,1284011,USD
32,2020-02-19,1527.2,1530.74,1520.98,1524.87,1137338,USD
33,2020-02-20,1519.01,1527.07,1504.26,1516.99,1298386,USD
34,2020-02-21,1504.58,1510.94,1478.49,1483.46,2126843,USD
35,2020-02-24,1423.05,1436.38,1406.79,1419.86,2478039,USD
36,2020-02-25,1431.0,1436.85,1380.42,1386.32,2578966,USD
37,2020-02-26,1394.98,1413.67,1376.55,1390.47,2490178,USD
38,2020-02-27,1359.14,1369.4,1314.24,1314.95,3114476,USD
39,2020-02-28,1274.31,1342.45,1268.21,1339.25,4010900,USD
40,2020-03-02,1351.39,1387.47,1325.2,1386.32,2771463,USD
41,2020-03-03,1397.68,1408.19,1329.24,1337.72,2830112,USD
42,2020-03-04,1358.96,1382.78,1337.0,1381.6,2379856,USD
43,2020-03-05,1345.55,1353.63,1301.64,1314.76,2718982,USD
44,2020-03-06,1269.95,1302.75,1257.21,1295.74,3232315,USD
45,2020-03-09,1204.96,1252.73,1198.04,1215.79,3462578,USD
46,2020-03-10,1254.39,1275.85,1214.51,1275.17,2743566,USD
47,2020-03-11,1248.27,1256.93,1191.14,1210.9,2741694,USD
48,2020-03-12,1122.62,1188.75,1108.47,1111.55,4716293,USD
49,2020-03-13,1174.99,1214.4,1112.29,1214.27,3969973,USD
50,2020-03-16,1089.61,1145.47,1067.08,1073.0,4825981,USD
51,2020-03-17,1090.64,1126.0,1049.1,1118.06,4159686,USD
52,2020-03-18,1053.01,1103.92,1037.06,1091.19,4652238,USD
53,2020-03-19,1089.61,1152.15,1057.28,1111.67,3703248,USD
54,2020-03-20,1130.9,1138.48,1062.1,1068.21,4143897,USD
55,2020-03-23,1056.37,1066.91,1008.87,1054.13,4183629,USD
56,2020-03-24,1102.73,1130.01,1088.13,1130.01,3623435,USD
57,2020-03-25,1121.08,1146.0,1083.46,1101.62,4516162,USD
58,2020-03-26,1111.6,1170.98,1093.15,1162.92,3834422,USD
59,2020-03-27,1125.6,1151.0,1104.83,1110.26,3139661,USD
60,2020-03-30,1132.64,1151.0,1098.49,1146.31,2936827,USD
61,2020-03-31,1148.73,1173.4,1136.72,1161.95,3263971,USD
62,2020-04-01,1124.0,1129.42,1093.49,1102.1,2598519,USD
63,2020-04-02,1100.0,1122.77,1093.13,1117.03,2820534,USD
64,2020-04-03,1114.71,1118.79,1075.08,1092.7,2568694,USD
65,2020-04-06,1133.0,1190.75,1125.0,1183.19,3165991,USD
66,2020-04-07,1217.01,1220.78,1177.25,1182.56,3080955,USD
67,2020-04-08,1203.1,1214.9,1183.95,1207.0,2016713,USD
68,2020-04-09,1218.18,1221.99,1192.42,1206.57,2701423,USD
69,2020-04-13,1201.5,1214.52,1182.33,1210.41,1935128,USD
70,2020-04-14,1239.97,1275.75,1228.54,1265.23,3167862,USD
71,2020-04-15,1246.51,1275.11,1234.0,1257.3,2111842,USD
72,2020-04-16,1267.14,1273.36,1238.2,1257.43,2894757,USD
73,2020-04-17,1281.7,1290.0,1266.0,1279.0,2552824,USD
74,2020-04-20,1269.89,1276.82,1256.44,1261.15,1764608,USD
75,2020-04-21,1242.71,1250.0,1205.0,1212.16,2482404,USD
76,2020-04-22,1241.11,1279.88,1237.2,1258.41,2315792,USD
77,2020-04-23,1265.74,1288.15,1260.53,1271.17,1710122,USD
78,2020-04-24,1255.0,1277.71,1244.0,1276.6,1872004,USD
79,2020-04-27,1292.0,1294.1,1265.06,1270.86,2209333,USD
80,2020-04-28,1283.2,1284.76,1230.38,1232.59,4035007,USD
81,2020-04-29,1345.0,1360.15,1326.73,1342.18,5417888,USD
82,2020-04-30,1331.36,1350.0,1321.5,1346.7,2792124,USD
83,2020-05-01,1324.09,1351.43,1309.66,1317.32,2443554,USD
84,2020-05-04,1308.13,1324.47,1296.01,1322.9,1540347,USD
85,2020-05-05,1337.5,1371.01,1335.03,1349.02,1983318,USD
86,2020-05-06,1358.0,1368.69,1345.13,1345.43,1586629,USD
87,2020-05-07,1361.31,1376.0,1352.54,1369.28,1535819,USD
88,2020-05-08,1381.82,1396.64,1372.01,1384.34,1666487,USD
89,2020-05-11,1376.79,1415.53,1375.5,1403.59,1635856,USD
90,2020-05-12,1408.22,1414.33,1374.51,1375.18,1695874,USD
91,2020-05-13,1379.06,1384.94,1328.62,1348.33,2018404,USD
92,2020-05-14,1333.52,1357.25,1323.59,1356.86,1833017,USD
93,2020-05-15,1350.36,1374.34,1339.0,1373.06,2077199,USD
94,2020-05-18,1363.02,1392.69,1354.79,1385.18,2356449,USD
95,2020-05-19,1383.28,1392.33,1374.32,1374.4,1579250,USD
96,2020-05-20,1388.42,1411.36,1387.91,1409.16,1913133,USD
97,2020-05-21,1405.59,1415.98,1394.8,1406.75,1544976,USD
98,2020-05-22,1403.9,1417.0,1395.95,1413.24,1427206,USD
99,2020-05-26,1440.82,1445.0,1420.55,1421.37,2229488,USD
100,2020-05-27,1419.45,1425.25,1394.67,1420.28,1584185,USD
101,2020-05-28,1400.33,1444.35,1400.33,1418.24,1759787,USD
102,2020-05-29,1420.43,1436.73,1415.98,1433.52,1852522,USD
103,2020-06-01,1424.96,1440.46,1422.28,1434.87,1259254,USD
104,2020-06-02,1432.39,1442.95,1421.69,1442.31,1172069,USD
105,2020-06-03,1442.28,1448.97,1431.91,1439.25,1386640,USD
106,2020-06-04,1433.59,1440.51,1406.12,1414.3,1349105,USD
107,2020-06-05,1415.64,1446.3,1407.62,1440.02,2132350,USD
108,2020-06-08,1428.68,1448.76,1424.57,1448.04,1693881,USD
109,2020-06-09,1442.96,1467.24,1442.96,1452.08,1681155,USD
110,2020-06-10,1464.72,1472.75,1454.43,1464.7,1588116,USD
111,2020-06-11,1439.72,1450.86,1398.56,1401.9,2357243,USD
112,2020-06-12,1425.86,1434.51,1385.8,1412.92,1833756,USD
113,2020-06-15,1388.8,1424.69,1387.93,1420.74,1527652,USD
114,2020-06-16,1446.64,1457.17,1429.1,1446.47,1534826,USD
115,2020-06-17,1453.0,1462.0,1435.72,1452.54,1530500,USD
116,2020-06-18,1449.85,1452.48,1426.5,1434.12,1743071,USD
117,2020-06-19,1438.0,1444.33,1420.65,1424.64,2639167,USD
118,2020-06-22,1424.28,1450.83,1419.3,1450.66,1472072,USD
119,2020-06-23,1456.0,1475.0,1445.0,1463.98,1887583,USD
120,2020-06-24,1463.0,1475.37,1430.4,1432.7,1579579,USD
121,2020-06-25,1429.42,1442.28,1419.8,1441.1,1197907,USD
122,2020-06-26,1433.09,1434.33,1355.47,1362.54,4882014,USD
123,2020-06-29,1361.01,1397.17,1351.73,1397.17,2253678,USD
124,2020-06-30,1395.0,1421.03,1387.21,1418.05,2014320,USD
125,2020-07-01,1419.17,1448.48,1414.18,1442.0,2109124,USD
126,2020-07-02,1451.84,1488.52,1451.06,1469.93,2860915,USD
127,2020-07-06,1488.26,1510.0,1478.52,1499.65,2235630,USD
128,2020-07-07,1496.13,1521.32,1489.7,1489.92,2118194,USD
129,2020-07-08,1498.53,1510.64,1492.3,1503.6,1588292,USD
130,2020-07-09,1512.2,1528.79,1495.72,1518.66,2091833,USD
131,2020-07-10,1513.25,1541.34,1500.72,1539.01,1796063,USD
132,2020-07-13,1554.73,1576.17,1507.63,1512.23,2147728,USD
133,2020-07-14,1488.72,1522.7,1486.97,1520.86,1905400,USD
134,2020-07-15,1525.37,1535.04,1498.14,1516.88,1551325,USD
