,Date,Open,High,Low,Close,Volume,Currency
0,2020-01-02,29.03,29.16,28.36,28.66,6224928,USD
1,2020-01-03,28.48,28.82,28.4,28.7,5442013,USD
2,2020-01-06,28.57,28.87,28.35,28.8,6929596,USD
3,2020-01-07,28.72,28.8,28.42,28.59,5882994,USD
4,2020-01-08,28.71,28.73,28.41,28.42,7341572,USD
5,2020-01-09,28.5,28.66,28.19,28.44,5725302,USD
6,2020-01-10,28.4,28.57,28.23,28.36,4549288,USD
7,2020-01-13,28.34,28.71,28.25,28.42,3796307,USD
8,2020-01-14,28.33,28.91,28.32,28.84,6134732,USD
9,2020-01-15,28.76,28.86,28.22,28.29,5676423,USD
10,2020-01-16,28.34,28.62,28.01,28.08,5537525,USD
11,2020-01-17,28.04,28.34,28.02,28.15,5614546,USD
12,2020-01-21,28.2,28.56,28.06,28.41,7318176,USD
13,2020-01-22,28.33,28.63,28.33,28.37,4821759,USD
14,2020-01-23,28.37,28.62,28.22,28.44,3959588,USD
15,2020-01-24,28.48,28.51,28.14,28.19,4642165,USD
16,2020-01-27,27.95,28.5,27.76,28.33,4241668,USD
17,2020-01-28,28.35,28.47,28.17,28.33,3323286,USD
18,2020-01-29,28.39,28.4,27.41,27.45,4454532,USD
19,2020-01-30,27.3,27.56,27.2,27.55,3938623,USD
20,2020-01-31,27.4,27.45,26.72,26.86,6094408,USD
21,2020-02-03,27.01,27.28,26.87,26.98,5321666,USD
22,2020-02-04,27.07,27.61,27.03,27.39,5330313,USD
23,2020-02-05,27.48,28.09,27.36,28.08,5244183,USD
24,2020-02-06,28.23,28.31,27.9,28.05,5524123,USD
25,2020-02-07,28.05,28.26,27.86,27.96,5952030,USD
26,2020-02-10,28.0,28.34,27.95,28.14,4511172,USD
27,2020-02-11,28.2,28.47,28.13,28.44,4096259,USD
28,2020-02-12,28.5,28.84,28.43,28.69,4375741,USD
29,2020-02-13,28.52,28.78,28.43,28.63,3682140,USD
30,2020-02-14,28.5,28.71,28.08,28.23,4807850,USD
31,2020-02-18,29.8,30.73,29.35,29.71,16001563,USD
32,2020-02-19,29.97,30.2,29.38,29.54,7528095,USD
33,2020-02-20,29.36,29.8,29.14,29.78,6187456,USD
34,2020-02-21,29.8,30.52,29.78,30.31,9065337,USD
35,2020-02-24,29.92,30.64,29.88,30.27,7668598,USD
36,2020-02-25,30.37,30.42,29.59,29.67,7335175,USD
37,2020-02-26,29.88,29.88,28.62,28.75,7565988,USD
38,2020-02-27,28.55,29.3,28.33,28.36,8376577,USD
39,2020-02-28,28.0,28.18,27.06,28.13,13514392,USD
