,Date,Open,High,Low,Close,Volume,Currency
0,2020-01-02,101.36,102.21,101.02,102.2,5644162,USD
1,2020-01-03,100.59,102.0,100.31,101.92,4542003,USD
2,2020-01-06,100.95,101.84,100.87,101.83,4612752,USD
3,2020-01-07,101.81,102.74,100.81,101.78,6818719,USD
4,2020-01-08,101.31,102.14,100.85,101.55,4942205,USD
5,2020-01-09,101.94,102.41,101.39,101.48,5007639,USD
6,2020-01-10,101.89,101.93,100.76,100.9,5135459,USD
7,2020-01-13,101.0,102.34,100.82,102.16,6722718,USD
8,2020-01-14,102.45,103.89,102.35,102.92,5088633,USD
9,2020-01-15,103.25,103.7,102.47,102.79,4209191,USD
10,2020-01-16,102.88,103.57,102.85,103.37,6571710,USD
11,2020-01-17,103.43,104.55,103.34,104.53,6271369,USD
12,2020-01-21,104.25,104.69,103.81,104.58,4854693,USD
13,2020-01-22,105.0,105.62,104.42,104.49,5031401,USD
14,2020-01-23,104.03,104.37,102.62,103.02,7102868,USD
15,2020-01-24,103.59,103.89,101.66,102.03,3839278,USD
16,2020-01-27,98.21,100.71,98.01,100.24,9841427,USD
17,2020-01-28,100.34,101.05,99.52,100.41,5673193,USD
18,2020-01-29,101.07,101.3,99.17,99.84,4504110,USD
19,2020-01-30,99.02,99.75,97.37,98.19,7065065,USD
20,2020-01-31,98.11,98.45,95.92,96.3,8780345,USD
21,2020-02-03,99.0,100.92,98.57,99.27,9727690,USD
22,2020-02-04,101.91,102.78,101.26,101.38,6559561,USD
23,2020-02-05,101.76,101.97,99.53,100.54,6108309,USD
24,2020-02-06,100.9,101.53,100.16,100.27,5641823,USD
25,2020-02-07,99.81,100.4,98.97,99.44,4122035,USD
26,2020-02-10,99.22,100.51,99.0,100.02,4213929,USD
27,2020-02-11,100.07,100.35,99.44,100.02,4871893,USD
28,2020-02-12,100.74,103.08,100.44,103.0,8075612,USD
29,2020-02-13,102.51,103.74,101.68,103.37,5386913,USD
30,2020-02-14,103.53,103.89,102.44,103.54,4305480,USD
31,2020-02-18,103.0,103.38,101.61,102.0,4916709,USD
32,2020-02-19,102.66,103.39,102.43,102.46,6200501,USD
33,2020-02-20,102.46,102.63,100.55,102.53,6427606,USD
34,2020-02-21,102.0,102.08,99.63,100.25,5750854,USD
35,2020-02-24,95.54,97.07,95.25,95.91,8364218,USD
36,2020-02-25,96.35,96.76,92.62,92.9,9602121,USD
37,2020-02-26,93.08,94.65,91.99,92.0,9308916,USD
38,2020-02-27,90.0,93.06,88.5,88.55,12825658,USD
39,2020-02-28,86.03,89.47,85.15,89.38,16565661,USD
