,Date,Open,High,Low,Close,Volume,Currency
0,2020-01-02,42.58,42.64,41.2,41.67,1350178,USD
1,2020-01-03,41.5,42.22,41.41,42.09,950043,USD
2,2020-01-06,42.0,42.42,41.85,42.12,1922889,USD
3,2020-01-07,42.06,42.12,41.39,41.69,1169262,USD
4,2020-01-08,41.69,41.9,41.48,41.74,2156154,USD
5,2020-01-09,41.8,41.94,41.53,41.81,2542742,USD
6,2020-01-10,41.81,42.42,41.76,42.36,1394290,USD
7,2020-01-13,42.39,43.25,42.36,43.17,1588754,USD
8,2020-01-14,43.17,43.18,42.51,42.85,2092361,USD
9,2020-01-15,42.93,43.6,42.9,43.24,1424791,USD
10,2020-01-16,43.36,43.74,43.0,43.47,2270811,USD
11,2020-01-17,43.5,43.73,43.2,43.26,1387765,USD
12,2020-01-21,43.25,44.08,43.2,44.02,1321299,USD
13,2020-01-22,43.91,44.09,43.21,43.25,2458362,USD
14,2020-01-23,43.03,43.57,42.93,43.23,2041722,USD
15,2020-01-24,43.25,43.56,43.06,43.29,1117014,USD
16,2020-01-27,43.07,43.49,43.07,43.26,2229968,USD
17,2020-01-28,43.31,43.62,43.2,43.4,1795606,USD
18,2020-01-29,43.6,43.6,43.17,43.3,1791355,USD
19,2020-01-30,42.59,42.7,41.97,42.0,1848517,USD
20,2020-01-31,42.0,42.15,41.6,41.95,2861989,USD
21,2020-02-03,41.96,42.28,41.92,42.04,2342355,USD
22,2020-02-04,42.23,42.69,42.1,42.56,1551167,USD
23,2020-02-05,42.43,42.62,42.32,42.5,1073837,USD
24,2020-02-06,42.61,42.97,42.47,42.55,1191463,USD
25,2020-02-07,42.65,42.82,42.43,42.56,1123366,USD
26,2020-02-10,42.86,43.17,42.71,43.16,1124772,USD
27,2020-02-11,43.16,43.5,42.75,43.04,1341702,USD
28,2020-02-12,43.18,43.35,42.72,43.26,1680582,USD
29,2020-02-13,43.2,43.78,43.19,43.71,890786,USD
30,2020-02-14,44.0,44.34,43.81,44.32,1130112,USD
31,2020-02-18,44.37,44.58,44.14,44.51,1089585,USD
32,2020-02-19,44.51,44.51,43.63,43.89,1005341,USD
33,2020-02-20,43.85,44.6,43.71,44.55,929928,USD
34,2020-02-21,44.55,44.85,44.47,44.65,1170731,USD
35,2020-02-24,44.14,45.22,44.06,44.95,1949398,USD
36,2020-02-25,44.97,45.1,43.87,43.97,3712393,USD
37,2020-02-26,44.04,44.66,43.68,43.94,1780923,USD
38,2020-02-27,43.5,43.62,41.72,41.74,2464600,USD
39,2020-02-28,40.73,40.73,38.09,39.6,5226830,USD
40,2020-03-02,40.03,40.28,38.57,39.39,4181475,USD
41,2020-03-03,39.51,40.91,39.23,39.94,3052834,USD
42,2020-03-04,40.83,41.96,40.63,41.61,2808199,USD
43,2020-03-05,41.24,41.28,40.43,41.21,1990726,USD
44,2020-03-06,40.26,40.35,38.3,39.29,1966058,USD
45,2020-03-09,36.0,37.09,33.33,35.22,3792826,USD
46,2020-03-10,36.22,36.45,33.52,35.05,3005509,USD
47,2020-03-11,34.28,34.56,30.65,31.44,5586090,USD
48,2020-03-12,28.25,28.25,23.75,24.86,5610510,USD
49,2020-03-13,27.57,27.57,22.0,26.49,6803699,USD
50,2020-03-16,23.5,23.76,19.0,19.0,5121550,USD
51,2020-03-17,19.89,19.98,17.08,17.91,5095024,USD
52,2020-03-18,16.54,17.44,13.34,14.87,4659631,USD
53,2020-03-19,15.38,23.57,14.51,22.27,5839763,USD
54,2020-03-20,22.7,24.24,21.7,22.43,6746609,USD
55,2020-03-23,22.01,23.31,20.06,22.24,4581308,USD
56,2020-03-24,24.49,26.19,23.77,25.24,3084521,USD
57,2020-03-25,27.19,28.06,24.77,26.11,4011202,USD
58,2020-03-26,26.16,28.5,25.42,28.0,3433320,USD
59,2020-03-27,26.15,28.75,25.74,28.05,2480874,USD
60,2020-03-30,27.24,27.54,25.42,26.59,3668022,USD
61,2020-03-31,26.23,26.74,25.06,26.54,5236576,USD
62,2020-04-01,25.0,25.26,23.71,24.54,3460282,USD
63,2020-04-02,24.12,25.43,23.15,24.17,3530655,USD
64,2020-04-03,24.03,24.73,23.14,24.1,2953652,USD
65,2020-04-06,26.05,26.9,25.01,26.58,2675604,USD
66,2020-04-07,28.43,29.75,28.04,28.65,4176716,USD
67,2020-04-08,29.5,32.38,28.73,32.12,3671099,USD
68,2020-04-09,33.0,35.59,32.91,34.59,4436354,USD
69,2020-04-13,34.66,34.67,32.7,33.77,2335764,USD
70,2020-04-14,34.65,35.96,34.12,34.89,2454844,USD
71,2020-04-15,32.79,34.28,31.87,31.94,2561107,USD
72,2020-04-16,32.28,32.56,31.22,31.31,2768964,USD
73,2020-04-17,32.81,33.47,32.16,32.42,2069974,USD
74,2020-04-20,31.81,31.93,30.05,30.11,2413288,USD
75,2020-04-21,28.95,30.1,28.1,28.76,2930351,USD
76,2020-04-22,29.68,29.8,28.3,28.36,1797518,USD
77,2020-04-23,28.5,29.29,28.0,28.14,2194073,USD
78,2020-04-24,27.0,27.55,26.48,26.82,3175450,USD
79,2020-04-27,26.92,28.27,26.72,27.57,2068398,USD
80,2020-04-28,29.85,30.38,27.83,27.95,3264802,USD
81,2020-04-29,28.39,30.2,28.03,29.63,2281933,USD
82,2020-04-30,28.76,29.39,28.32,29.15,2386110,USD
83,2020-05-01,28.12,28.45,26.82,27.08,1754013,USD
84,2020-05-04,26.52,27.43,25.9,27.22,2519146,USD
85,2020-05-05,29.21,29.73,26.67,27.09,3040010,USD
86,2020-05-06,27.2,27.59,26.3,26.36,1775772,USD
87,2020-05-07,26.88,27.53,26.19,26.42,2563732,USD
88,2020-05-08,27.32,27.89,26.74,27.58,4595553,USD
