,Date,Open,High,Low,Close,Volume,Currency
0,2020-01-02,39.16,39.22,38.71,38.86,30256306,USD
1,2020-01-03,38.58,39.2,38.57,39.06,27416012,USD
2,2020-01-06,38.99,39.15,38.82,39.1,38696248,USD
3,2020-01-07,39.08,39.3,38.98,39.25,28375360,USD
4,2020-01-08,39.33,39.55,39.29,39.37,40542492,USD
5,2020-01-09,38.92,39.0,38.55,38.8,39456700,USD
6,2020-01-10,38.81,38.95,38.57,38.57,29722998,USD
7,2020-01-13,38.54,38.55,38.02,38.1,33073730,USD
8,2020-01-14,38.06,38.19,37.95,38.09,26536986,USD
9,2020-01-15,37.97,38.02,37.79,37.87,26077244,USD
10,2020-01-16,37.99,38.13,37.77,38.03,27320256,USD
11,2020-01-17,38.05,38.44,37.98,38.38,33593552,USD
12,2020-01-21,38.35,38.64,38.18,38.52,43754576,USD
13,2020-01-22,38.68,39.14,38.64,39.04,36134776,USD
14,2020-01-23,38.96,38.99,38.55,38.63,29007976,USD
15,2020-01-24,38.6,38.78,38.23,38.5,34465332,USD
16,2020-01-27,38.02,38.57,38.01,38.25,35221576,USD
17,2020-01-28,38.32,38.8,38.27,38.58,30847836,USD
18,2020-01-29,38.5,38.56,37.02,37.05,57974424,USD
19,2020-01-30,36.47,37.45,36.32,37.43,50680304,USD
20,2020-01-31,37.32,37.76,37.25,37.62,41160012,USD
21,2020-02-03,37.96,37.97,36.8,36.96,40785824,USD
22,2020-02-04,37.08,37.74,36.94,37.63,31958844,USD
23,2020-02-05,37.73,37.95,37.52,37.81,24637492,USD
24,2020-02-06,37.86,38.48,37.86,38.44,26212556,USD
25,2020-02-07,38.45,38.72,38.36,38.45,25198660,USD
26,2020-02-10,38.42,38.54,38.1,38.34,18544340,USD
27,2020-02-11,38.49,38.82,37.9,38.17,31978014,USD
28,2020-02-12,38.19,38.33,38.02,38.04,31309382,USD
29,2020-02-13,37.88,38.43,37.85,38.31,24627628,USD
30,2020-02-14,38.28,38.47,38.11,38.25,27388864,USD
31,2020-02-18,38.18,38.32,38.04,38.26,24280102,USD
32,2020-02-19,38.24,38.65,38.16,38.44,22601208,USD
33,2020-02-20,38.4,38.67,38.31,38.61,27176134,USD
34,2020-02-21,38.52,38.68,38.37,38.55,28468242,USD
35,2020-02-24,37.99,38.51,37.98,38.05,34886904,USD
36,2020-02-25,38.11,38.28,37.26,37.35,48886212,USD
37,2020-02-26,37.19,37.78,36.92,37.1,40268176,USD
38,2020-02-27,36.58,36.91,35.36,35.73,66325720,USD
39,2020-02-28,34.0,35.72,33.01,35.22,121099728,USD
40,2020-03-02,35.37,37.42,35.29,37.18,68432792,USD
41,2020-03-03,37.26,37.96,35.87,36.3,63808016,USD
42,2020-03-04,37.02,38.22,36.72,38.18,42070352,USD
43,2020-03-05,37.4,37.92,36.97,37.18,45298116,USD
44,2020-03-06,36.71,37.25,36.18,37.03,48883084,USD
45,2020-03-09,35.01,36.15,34.38,34.69,67968656,USD
46,2020-03-10,35.51,35.89,34.24,35.85,56660604,USD
47,2020-03-11,34.85,35.07,34.16,34.52,45340444,USD
48,2020-03-12,31.86,33.43,31.06,31.33,84215232,USD
49,2020-03-13,32.92,34.61,31.86,34.47,64688756,USD
50,2020-03-16,31.0,33.89,30.92,31.81,58776600,USD
51,2020-03-17,32.12,34.06,32.01,33.74,59642016,USD
52,2020-03-18,31.95,32.9,30.28,32.85,76034400,USD
53,2020-03-19,31.35,32.49,30.52,31.15,60817172,USD
54,2020-03-20,30.46,30.5,28.18,28.45,116732264,USD
55,2020-03-23,27.39,27.71,26.08,26.77,96884136,USD
56,2020-03-24,28.04,28.3,26.86,28.09,76300912,USD
57,2020-03-25,28.01,29.91,27.42,28.4,68027712,USD
58,2020-03-26,28.73,30.95,28.71,30.6,64092412,USD
59,2020-03-27,29.59,30.81,29.23,29.84,46386012,USD
60,2020-03-30,29.9,30.41,29.48,30.23,41629880,USD
61,2020-03-31,30.04,30.13,29.05,29.15,69813376,USD
62,2020-04-01,28.38,28.58,27.7,28.05,54645992,USD
63,2020-04-02,28.0,28.87,28.0,28.76,33818420,USD
64,2020-04-03,28.53,28.74,27.25,27.46,53443176,USD
65,2020-04-06,28.4,29.68,28.31,29.44,53502008,USD
66,2020-04-07,30.44,30.97,30.07,30.08,54265544,USD
67,2020-04-08,29.95,30.0,29.1,29.89,40793296,USD
68,2020-04-09,30.0,30.94,29.99,30.73,50332672,USD
69,2020-04-13,30.5,30.72,29.9,30.19,34145824,USD
70,2020-04-14,30.69,31.16,30.35,31.13,31941488,USD
71,2020-04-15,30.63,30.96,29.96,30.09,37542892,USD
72,2020-04-16,30.28,30.28,29.7,30.16,32533858,USD
73,2020-04-17,30.85,31.25,30.7,31.23,34656152,USD
74,2020-04-20,30.85,31.42,30.7,30.98,30583180,USD
75,2020-04-21,30.51,30.52,29.64,29.87,43213060,USD
76,2020-04-22,30.9,30.9,29.31,29.47,50764172,USD
77,2020-04-23,29.44,30.05,29.33,29.5,34011520,USD
78,2020-04-24,29.59,29.95,29.15,29.71,35567748,USD
79,2020-04-27,29.99,30.68,29.74,30.54,33320716,USD
80,2020-04-28,31.0,31.12,30.61,30.65,30924780,USD
81,2020-04-29,31.13,31.87,31.07,31.43,33160144,USD
82,2020-04-30,31.0,31.05,30.28,30.47,40751936,USD
83,2020-05-01,30.77,30.79,29.75,29.9,36851312,USD
84,2020-05-04,29.75,29.75,29.22,29.6,35164096,USD
85,2020-05-05,29.74,30.18,29.72,29.74,24626124,USD
86,2020-05-06,29.82,29.87,28.79,28.79,45094228,USD
87,2020-05-07,29.17,29.2,28.83,28.89,31814282,USD
88,2020-05-08,29.29,29.85,29.21,29.79,24047674,USD
89,2020-05-11,29.65,29.65,29.15,29.38,29223356,USD
90,2020-05-12,29.51,29.67,28.89,28.89,35220892,USD
91,2020-05-13,28.8,28.8,28.0,28.09,49265016,USD
92,2020-05-14,28.0,28.58,27.62,28.58,39827032,USD
93,2020-05-15,28.28,28.45,28.07,28.31,32250324,USD
94,2020-05-18,28.97,29.69,28.97,29.45,34952256,USD
95,2020-05-19,29.46,29.49,28.91,28.96,35217784,USD
96,2020-05-20,29.09,29.79,29.02,29.59,37899056,USD
97,2020-05-21,29.79,30.06,29.53,29.77,37935568,USD
98,2020-05-22,29.78,29.91,29.42,29.88,26638288,USD
99,2020-05-26,30.6,31.12,30.6,30.82,41383192,USD
100,2020-05-27,31.73,31.97,31.54,31.85,43440276,USD
101,2020-05-28,32.07,32.07,30.98,31.06,39689492,USD
102,2020-05-29,30.55,30.96,30.33,30.86,43747284,USD
103,2020-06-01,30.75,31.24,30.61,30.93,24959542,USD
104,2020-06-02,31.05,31.09,30.72,30.99,28436964,USD
105,2020-06-03,31.32,31.65,31.3,31.51,27861296,USD
106,2020-06-04,31.39,31.8,31.28,31.8,30762812,USD
107,2020-06-05,32.54,33.0,32.22,32.77,46689380,USD
108,2020-06-08,33.0,33.24,32.69,33.23,34279284,USD
109,2020-06-09,32.71,32.85,32.35,32.62,32209532,USD
110,2020-06-10,32.52,32.62,32.1,32.14,27291220,USD
111,2020-06-11,31.21,31.3,30.12,30.17,49865160,USD
112,2020-06-12,31.02,31.05,30.02,30.5,36279652,USD
113,2020-06-15,29.99,30.64,29.52,30.5,40263556,USD
114,2020-06-16,31.41,31.44,30.38,30.78,41630972,USD
115,2020-06-17,30.8,30.8,30.22,30.26,31480616,USD
116,2020-06-18,30.0,30.4,29.96,30.35,28364618,USD
117,2020-06-19,30.67,30.75,29.98,30.31,74958936,USD
118,2020-06-22,30.14,30.3,30.01,30.11,29559416,USD
119,2020-06-23,30.29,30.67,30.21,30.25,38913012,USD
120,2020-06-24,30.0,30.04,29.16,29.42,65596028,USD
121,2020-06-25,29.39,29.8,29.22,29.72,36571304,USD
122,2020-06-26,29.5,29.55,28.93,29.08,76576680,USD
123,2020-06-29,29.34,29.91,29.29,29.91,37534496,USD
124,2020-06-30,30.01,30.34,29.73,30.23,43791448,USD
125,2020-07-01,30.13,30.48,29.85,29.9,30972794,USD
126,2020-07-02,30.11,30.5,30.02,30.08,37724980,USD
127,2020-07-06,30.53,30.59,30.25,30.49,33715852,USD
128,2020-07-07,30.3,30.45,30.23,30.32,27509244,USD
129,2020-07-08,30.42,30.54,30.15,30.46,38933020,USD
130,2020-07-09,29.85,29.87,29.39,29.54,39365704,USD
131,2020-07-10,29.5,30.23,29.45,30.13,36893104,USD
132,2020-07-13,30.17,30.17,29.67,29.76,40993108,USD
133,2020-07-14,29.74,30.09,29.53,29.96,30603496,USD
134,2020-07-15,30.04,30.13,29.86,30.01,30955944,USD
135,2020-07-16,30.0,30.5,29.97,30.39,32987050,USD
136,2020-07-17,30.48,30.53,30.18,30.25,23156728,USD
137,2020-07-20,30.18,30.18,29.8,29.85,32399528,USD
138,2020-07-21,29.86,30.42,29.86,30.25,34270708,USD
139,2020-07-22,30.15,30.26,29.95,30.16,30508666,USD
140,2020-07-23,30.15,30.15,29.54,29.9,51503444,USD
141,2020-07-24,29.8,30.21,29.46,29.57,38727180,USD
142,2020-07-27,29.45,29.5,29.21,29.29,33494616,USD
143,2020-07-28,29.24,29.89,29.2,29.69,37667136,USD
144,2020-07-29,29.67,29.67,29.31,29.56,30475884,USD
145,2020-07-30,29.45,29.73,29.37,29.57,26647892,USD
146,2020-07-31,29.51,29.62,29.27,29.58,38694208,USD
147,2020-08-03,29.96,29.96,29.41,29.62,38979156,USD
148,2020-08-04,29.57,30.15,29.57,30.01,34044432,USD
149,2020-08-05,30.16,30.2,29.79,29.85,22991668,USD
150,2020-08-06,29.68,30.09,29.68,29.84,21908724,USD
151,2020-08-07,29.74,30.06,29.58,30.02,30422084,USD
152,2020-08-10,30.0,30.2,29.99,30.2,35514360,USD
153,2020-08-11,30.46,30.76,30.11,30.2,30986948,USD
154,2020-08-12,30.46,30.5,30.11,30.18,21188088,USD
155,2020-08-13,30.05,30.12,29.84,29.91,24893072,USD
156,2020-08-14,29.83,30.15,29.76,30.01,22547744,USD
157,2020-08-17,30.07,30.07,29.8,29.85,25019444,USD
158,2020-08-18,29.86,29.93,29.77,29.79,21913568,USD
159,2020-08-19,29.8,29.89,29.68,29.73,24779948,USD
160,2020-08-20,29.52,29.87,29.5,29.67,22927026,USD
161,2020-08-21,29.73,29.79,29.53,29.69,24883644,USD
162,2020-08-24,29.69,30.03,29.67,30.03,26384316,USD
163,2020-08-25,30.05,30.13,29.84,29.9,21027062,USD
164,2020-08-26,29.8,30.11,29.7,29.99,27840304,USD
165,2020-08-27,30.05,30.16,29.82,29.9,29612452,USD
166,2020-08-28,29.94,30.08,29.81,30.04,26839368,USD
167,2020-08-31,30.06,30.15,29.81,29.81,41482984,USD
168,2020-09-01,29.74,29.75,29.32,29.47,46349872,USD
169,2020-09-02,29.34,29.84,29.34,29.7,35128792,USD
170,2020-09-03,29.9,30.17,29.42,29.59,44328300,USD
171,2020-09-04,29.63,29.87,29.26,29.42,44835228,USD
172,2020-09-08,29.48,29.59,29.02,29.51,46433104,USD
173,2020-09-09,29.63,29.69,29.37,29.37,29620226,USD
174,2020-09-10,29.34,29.34,28.9,28.91,47416640,USD
175,2020-09-11,28.96,29.13,28.8,29.0,29669552,USD
176,2020-09-14,29.1,29.3,29.0,29.14,28722808,USD
177,2020-09-15,29.15,29.34,29.06,29.12,25911736,USD
178,2020-09-16,29.12,29.53,29.12,29.24,30879180,USD
179,2020-09-17,29.1,29.24,28.96,29.07,31650020,USD
180,2020-09-18,29.04,29.22,28.91,28.93,45861784,USD
181,2020-09-21,28.79,28.82,28.27,28.63,45473996,USD
182,2020-09-22,28.54,28.92,28.43,28.51,28148374,USD
183,2020-09-23,28.55,28.68,27.85,27.87,43786780,USD
184,2020-09-24,27.88,28.25,27.75,28.04,33052112,USD
185,2020-09-25,27.91,28.11,27.75,28.04,35928816,USD
186,2020-09-28,28.33,28.65,28.24,28.38,30525148,USD
187,2020-09-29,28.29,28.4,28.13,28.3,25472226,USD
188,2020-09-30,28.4,28.67,28.29,28.51,39088208,USD
189,2020-10-01,28.5,28.64,28.34,28.49,28640456,USD
190,2020-10-02,28.27,28.89,28.21,28.68,28698108,USD
191,2020-10-05,28.49,28.75,28.36,28.67,33463572,USD
192,2020-10-06,28.73,29.16,28.67,28.71,39162572,USD
193,2020-10-07,28.92,28.97,28.69,28.8,41425536,USD
194,2020-10-08,28.25,28.63,28.25,28.61,32108638,USD
195,2020-10-09,28.63,28.69,28.23,28.32,32697672,USD
196,2020-10-12,28.28,28.28,28.01,28.13,51208924,USD
197,2020-10-13,28.01,28.12,27.68,27.75,54011944,USD
198,2020-10-14,27.71,27.94,27.48,27.49,48462436,USD
199,2020-10-15,27.32,27.45,27.11,27.45,32086954,USD
200,2020-10-16,27.48,27.57,27.32,27.33,29326146,USD
201,2020-10-19,27.43,27.47,26.82,26.88,52128036,USD
202,2020-10-20,27.0,27.11,26.67,26.76,41589792,USD
203,2020-10-21,26.76,26.92,26.56,26.72,47749160,USD
204,2020-10-22,27.83,28.49,27.72,28.28,89507896,USD
205,2020-10-23,28.35,28.41,27.75,27.82,42630544,USD
