,Date,Open,High,Low,Close,Volume,Currency
0,2020-01-02,84.9,86.14,84.34,86.05,47791928,USD
1,2020-01-03,88.1,90.8,87.38,88.6,88973488,USD
2,2020-01-06,88.09,90.31,88.0,90.31,50787496,USD
3,2020-01-07,92.28,94.33,90.67,93.81,91045688,USD
4,2020-01-08,94.74,99.7,93.65,98.43,155996960,USD
5,2020-01-09,99.42,99.76,94.57,96.27,142315936,USD
6,2020-01-10,96.36,96.99,94.74,95.63,64884160,USD
7,2020-01-13,98.7,105.13,98.4,104.97,133172736,USD
8,2020-01-14,108.85,109.48,104.98,107.58,145306880,USD
9,2020-01-15,105.95,107.57,103.36,103.7,86844152,USD
10,2020-01-16,98.75,102.89,98.43,102.7,108683264,USD
11,2020-01-17,101.52,103.13,100.63,102.1,68145368,USD
12,2020-01-21,106.05,109.72,105.68,109.44,89017352,USD
13,2020-01-22,114.38,118.9,111.82,113.91,156845136,USD
14,2020-01-23,112.85,116.4,111.12,114.44,98255208,USD
15,2020-01-24,114.13,114.77,110.85,112.96,71768000,USD
16,2020-01-27,108.4,112.89,107.86,111.6,68040336,USD
17,2020-01-28,113.7,115.36,111.62,113.38,58942464,USD
18,2020-01-29,115.14,117.96,113.49,116.2,91083360,USD
19,2020-01-30,126.48,130.18,123.6,128.16,145028384,USD
20,2020-01-31,128.0,130.6,126.5,130.11,78596328,USD
21,2020-02-03,134.74,157.23,134.7,156.0,236167472,USD
22,2020-02-04,176.59,193.8,166.78,177.41,304693792,USD
23,2020-02-05,164.65,169.2,140.82,146.94,242119184,USD
24,2020-02-06,139.98,159.17,137.4,149.79,199403760,USD
25,2020-02-07,146.11,153.95,146.0,149.61,85317608,USD
26,2020-02-10,160.0,164.0,150.48,154.26,123445816,USD
27,2020-02-11,153.76,156.7,151.6,154.88,58487364,USD
28,2020-02-12,155.57,157.95,152.67,153.46,60112352,USD
29,2020-02-13,148.37,163.6,147.0,160.8,131446736,USD
30,2020-02-14,157.44,162.59,157.1,160.01,78468552,USD
31,2020-02-18,168.32,172.0,166.47,171.68,83491848,USD
32,2020-02-19,184.7,188.96,180.2,183.48,127114792,USD
33,2020-02-20,182.39,182.4,171.99,179.88,88174464,USD
34,2020-02-21,181.4,182.61,176.09,180.2,71697232,USD
35,2020-02-24,167.8,172.7,164.44,166.76,75960816,USD
36,2020-02-25,169.8,171.32,157.4,159.98,86452408,USD
37,2020-02-26,156.5,162.66,155.22,155.76,70769216,USD
38,2020-02-27,146.0,147.95,133.8,135.8,121385800,USD
39,2020-02-28,125.94,138.1,122.3,133.6,122820856,USD
40,2020-03-02,142.25,148.74,137.33,148.72,100974952,USD
