,Date,Open,High,Low,Close,Volume,Currency
0,2016-01-01,430.0,438.0,425.9,434.0,46973,USD
1,2016-01-02,434.0,437.4,430.7,433.7,33570,USD
2,2016-01-03,433.7,434.1,423.1,430.7,54826,USD
3,2016-01-04,430.7,435.3,428.6,433.3,53008,USD
4,2016-01-05,433.3,435.3,428.9,431.2,45030,USD
5,2016-01-06,431.2,432.1,425.0,430.8,43432,USD
6,2016-01-07,430.8,457.5,428.5,457.0,130197,USD
7,2016-01-08,457.0,462.9,446.5,452.9,91305,USD
8,2016-01-09,452.9,454.5,444.9,448.3,39810,USD
9,2016-01-10,448.3,448.9,438.6,446.2,44457,USD
10,2016-01-11,446.2,451.1,441.8,447.7,56587,USD
11,2016-01-12,447.7,448.4,443.1,445.0,44586,USD
12,2016-01-13,445.0,443.7,420.4,432.2,92040,USD
13,2016-01-14,432.2,433.7,427.0,429.1,46173,USD
14,2016-01-15,429.1,430.1,364.7,372.3,268142,USD
15,2016-01-16,372.3,386.7,350.4,385.0,183962,USD
16,2016-01-17,385.0,390.7,377.7,382.5,66089,USD
17,2016-01-18,382.5,387.3,373.2,384.4,69301,USD
18,2016-01-19,384.4,386.7,375.9,379.5,66345,USD
19,2016-01-20,379.5,425.7,374.0,414.6,190317,USD
20,2016-01-21,414.6,423.4,403.9,410.2,89938,USD
21,2016-01-22,410.2,411.5,374.9,382.6,144857,USD
22,2016-01-23,382.6,395.4,380.3,388.6,61383,USD
23,2016-01-24,388.6,405.4,385.5,402.1,64536,USD
24,2016-01-25,402.1,403.8,386.9,392.8,67659,USD
25,2016-01-26,392.8,397.7,387.9,389.8,56805,USD
26,2016-01-27,389.8,397.4,389.4,395.0,43679,USD
27,2016-01-28,395.0,395.4,376.7,379.7,77320,USD
28,2016-01-29,379.7,385.8,363.5,380.3,138456,USD
29,2016-01-30,380.3,381.8,375.0,377.8,36180,USD
30,2016-01-31,377.8,380.5,366.9,369.8,39020,USD
31,2016-02-01,369.8,379.8,365.3,372.2,74346,USD
32,2016-02-02,372.2,376.6,371.4,373.9,50981,USD
33,2016-02-03,373.9,375.9,366.2,368.0,59813,USD
34,2016-02-04,368.0,391.8,368.0,390.6,101869,USD
35,2016-02-05,390.6,391.1,384.5,386.5,60917,USD
36,2016-02-06,386.5,386.4,372.9,376.7,78850,USD
37,2016-02-07,376.7,382.6,375.3,377.9,40743,USD
38,2016-02-08,377.9,380.9,372.1,372.6,62236,USD
