Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
Z,146.13,Put,95,01/20/23,716,14.8,16.65,18.5,16.6,7500,155,48.39,49.79%,02/02/21
Z,146.13,Put,60,01/20/23,716,4.3,5.4,6.5,5.5,7501,181,41.44,51.79%,02/02/21
GOOG,2041.84,Put,1877.5,02/05/21,2,17.5,9.78,2.05,19.2,8451,372,22.72,0.00%,02/02/21
TME,27.25,Put,24,03/19/21,44,0.72,0.74,0.76,0.76,13083,698,18.74,49.52%,02/02/21
ZS,213.18,Call,220,02/05/21,2,2.47,2.71,2.95,2.76,4381,360,12.17,53.99%,02/02/21
PFE,35.08,Call,35,02/05/21,2,0.33,0.34,0.35,0.35,21705,1823,11.91,28.78%,02/02/21
XSPA,2.18,Call,3,07/16/21,163,0.65,0.68,0.7,0.7,8934,799,11.18,129.52%,02/02/21
XPO,118.73,Call,120,05/21/21,107,11.5,11.65,11.8,11.8,2762,270,10.23,41.13%,02/02/21
WPG,10.37,Call,15,03/19/21,44,0.15,0.9,1.65,0.75,1032,127,8.13,126.63%,02/02/21
PARR,13.88,Call,17.5,06/18/21,135,1.2,1.3,1.4,1.35,2782,401,6.94,62.07%,02/02/21
XPEV,46.66,Call,47,02/05/21,2,1.53,1.59,1.65,1.58,1640,237,6.92,94.11%,02/02/21
INSG,18.64,Put,2.5,01/21/22,352,0.1,0.45,0.8,0.2,1826,284,6.43,138.21%,02/02/21
FB,264.35,Call,277.5,02/19/21,16,3.8,3.95,4.1,4.17,657,104,6.32,30.18%,02/02/21
ZI,52,Call,60,03/19/21,44,2.9,3.05,3.2,2.95,779,126,6.18,69.45%,02/02/21
FB,264.35,Call,225,02/12/21,9,41,41.98,42.95,42.8,664,110,6.04,56.08%,02/02/21
TR,31.59,Put,30,03/19/21,44,2.7,2.9,3.1,3.1,1027,171,6.01,71.15%,02/02/21
PFE,35.08,Call,35,02/26/21,23,0.9,0.97,1.04,0.98,1377,233,5.91,24.19%,02/02/21
GME,101,Call,5,01/21/22,352,80.3,85.15,90,81.8,1352,235,5.75,0.00%,02/02/21
PBR,10.92,Put,11,02/05/21,2,0.32,0.33,0.34,0.39,2055,373,5.51,76.78%,02/02/21
PFE,35.08,Call,35,02/12/21,9,0.57,0.58,0.59,0.58,3804,690,5.51,22.68%,02/02/21
GME,101,Call,0.5,02/05/21,2,88.65,89.63,90.6,89.6,724,133,5.44,0.00%,02/02/21
EDIT,67.99,Call,90,03/19/21,44,4.5,5.25,6,5.29,865,159,5.44,111.42%,02/02/21
PBI,8.79,Call,9,03/19/21,44,1.15,1.28,1.4,1.3,1017,188,5.41,98.12%,02/02/21
XOM,45.89,Call,47,02/05/21,2,0.2,0.22,0.24,0.2,13057,2422,5.39,41.36%,02/02/21
TR,31.59,Call,50,06/18/21,135,1.45,1.53,1.6,1.55,571,110,5.19,65.19%,02/02/21
PDD,192.27,Call,195,02/05/21,2,0.96,1.08,1.2,1.2,1330,262,5.08,80.18%,02/02/21
PANW,385.05,Call,380,02/05/21,2,10.15,11.48,12.8,11.68,717,146,4.91,54.19%,02/02/21
IFF,126.04,Call,115,02/05/21,2,8,10.45,12.9,14.83,1700,350,4.86,64.24%,02/02/21
XPEV,46.66,Call,49,02/05/21,2,0.85,0.89,0.93,0.9,2746,589,4.66,100.39%,02/02/21
ET,6.6,Call,6.5,03/12/21,37,0.4,0.44,0.47,0.43,1131,244,4.64,44.92%,02/02/21
ZNGA,10.31,Put,10,03/19/21,44,0.64,0.67,0.7,0.67,3796,818,4.64,49.57%,02/02/21
SLM,14.98,Call,12,02/19/21,16,2.15,2.63,3.1,2.8,12289,2712,4.53,78.89%,02/02/21
SHOP,1221,Call,1050,02/12/21,9,168.5,173.25,178,159.18,504,116,4.34,0.00%,02/02/21
PFE,35.08,Call,34.5,02/05/21,2,0.61,0.65,0.68,0.64,2973,721,4.12,27.95%,02/02/21
KMI,13.91,Call,13,02/19/21,16,0.57,0.79,1.02,1.03,3251,808,4.02,38.26%,02/02/21
ET,6.6,Call,7.5,03/05/21,30,0.08,0.11,0.14,0.1,807,204,3.96,44.99%,02/02/21
CBOE,97.99,Call,110,02/19/21,16,0.1,0.18,0.25,0.22,602,156,3.86,31.20%,02/02/21
RVNC,28.09,Call,35,04/16/21,72,0.95,2.08,3.2,2.22,502,138,3.64,70.61%,02/02/21
PDD,192.27,Call,197.5,02/05/21,2,0.69,0.82,0.94,0.76,827,235,3.52,77.43%,02/02/21
XPEV,46.66,Call,48,02/05/21,2,1.12,1.18,1.23,1.23,1969,559,3.52,99.30%,02/02/21
EVH,18.67,Put,15,03/19/21,44,0.45,0.55,0.65,0.55,2000,570,3.51,64.24%,02/02/21
SPWR,41.99,Call,70,02/12/21,9,0.23,0.29,0.35,0.45,530,153,3.46,151.73%,02/02/21
SABR,11.99,Put,3,01/21/22,352,0.15,0.45,0.75,0.17,700,203,3.45,107.16%,02/02/21
PFE,35.08,Call,34,06/18/21,135,2.71,2.76,2.8,2.77,1726,506,3.41,24.62%,02/02/21
PDD,192.27,Put,140,03/19/21,44,3.7,3.83,3.95,3.95,957,282,3.39,66.24%,02/02/21
