Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,SONO,SPCE,MGNI
2000-01-03,535796800.0,,8402200.0,5791900.0,6057400.0,558900.0,2461900.0,,,111500.0,8164300.0,,11339200.0,,12019200.0,2062300.0,,,,,,53228400.0,,,
2000-01-04,512377600.0,,16051100.0,7173600.0,5722800.0,416800.0,7660300.0,,,100700.0,8089800.0,,17990600.0,,11723400.0,2556900.0,,,,,,54119000.0,,,
2000-01-05,778321600.0,,19823800.0,9090000.0,7726400.0,472800.0,3944600.0,,,182100.0,12177900.0,,15291000.0,,8714500.0,2295100.0,,,,,,64059600.0,,,
2000-01-06,767972800.0,,7903100.0,7153600.0,7221400.0,2333400.0,2468400.0,,,178800.0,6227200.0,,17686400.0,,8369200.0,1539200.0,,,,,,54976600.0,,,
2000-01-07,460734400.0,,6773500.0,5885600.0,5164800.0,341800.0,9783000.0,,,293500.0,8066500.0,,13358200.0,,6571900.0,1510900.0,,,,,,62013600.0,,,
2000-01-10,505064000.0,,33965800.0,7118700.0,4454000.0,335100.0,4961300.0,,,120200.0,5741700.0,,8824000.0,,4723500.0,1102000.0,,,,,,44963600.0,,,
2000-01-11,441548800.0,,20134800.0,6472800.0,2955000.0,286300.0,4393600.0,,,125800.0,7503700.0,,9792600.0,,8405500.0,2573200.0,,,,,,46743600.0,,,
2000-01-12,976068800.0,,13100900.0,8920000.0,4687400.0,282700.0,3791800.0,,,62000.0,6907700.0,,6635800.0,,7271800.0,1407400.0,,,,,,66532400.0,,,
2000-01-13,1032684800.0,,8732300.0,8250000.0,5750800.0,281400.0,2919000.0,,,144500.0,5158300.0,,11179800.0,,6918900.0,1751500.0,,,,,,83144000.0,,,
2000-01-14,390376000.0,,8151500.0,9888300.0,4571000.0,186700.0,2952200.0,,,92100.0,7437300.0,,6856800.0,,9731800.0,4445600.0,,,,,,73416400.0,,,
2000-01-18,459177600.0,,8101700.0,9824500.0,5932000.0,472900.0,4523500.0,,,134000.0,6488500.0,,9452200.0,,5296600.0,2009300.0,,,,,,81483600.0,,,
2000-01-19,597643200.0,,6551300.0,10212300.0,4130500.0,674100.0,7651500.0,,,272200.0,6157900.0,,5676200.0,,15734700.0,1653500.0,,,,,,97568200.0,,,
2000-01-20,1831132800.0,,7212000.0,10080400.0,5551900.0,1174200.0,8872700.0,,,183800.0,5800100.0,,7137800.0,,7770300.0,3375400.0,,,,,,56349800.0,,,
2000-01-21,495924800.0,,8284100.0,15950400.0,3520200.0,488900.0,3447300.0,,,296300.0,6244800.0,,8151000.0,,5160600.0,2108600.0,,,,,,68416200.0,,,
2000-01-24,440876800.0,,8343000.0,9980400.0,5005500.0,986100.0,3333300.0,,,238900.0,7896900.0,,11600200.0,,6459100.0,3403400.0,,,,,,63597600.0,,,
2000-01-25,497145600.0,,29911200.0,15943100.0,3730800.0,589400.0,3379800.0,,,189600.0,9942500.0,,7716600.0,,7579900.0,3588100.0,,,,,,59823200.0,,,
2000-01-26,367158400.0,,10400700.0,7662100.0,3782800.0,447200.0,2750500.0,,,180100.0,5158100.0,,13237000.0,,8386600.0,7179700.0,,,,,,49365000.0,,,
